name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
LeBron James,CLE,33,18,12,6,41.3,34,12.6,23.2,54.2,1.8,5.3,34.4,7.1,9.7,72.6,1.2,8,9.2,8.8,4.1,1.4,1.1,2.3,61.5,13,3,2.1
Anthony Davis,NOP,25,9,5,4,39.8,30.1,11.8,22.7,52,0.7,2.4,27.3,5.9,7.1,82.8,2.7,10.8,13.4,1.7,2.6,2,2.3,3.3,59.2,9,0,1
Russell Westbrook,OKC,29,6,2,4,39.2,29.3,10.7,26.8,39.8,2.5,7,35.7,5.5,6.7,82.5,1.8,10.2,12,7.5,5.2,1.5,0,3.5,54.3,6,0,-6
Kevin Durant,GSW,29,17,12,5,37.8,29,10.1,21.1,47.9,2.2,6.8,32.8,6.5,7.4,88.8,0.6,6.4,7.1,4.1,2.4,0.7,0.9,1.8,46.1,3,0,7.1
James Harden,HOU,28,17,11,6,36.5,28.6,9.3,22.6,41,3.1,10.2,29.9,6.9,7.8,88.7,0.8,4.4,5.2,6.8,3.8,2.2,0.6,2.7,49.9,4,0,4.4
John Wall,WAS,27,6,2,4,39.1,26,9.3,21.2,44.1,0.7,3.5,19,6.7,7.8,85.1,0.5,5.2,5.7,11.5,4.5,2.3,1.3,2.7,56.6,3,0,-0.5
Giannis Antetokounmpo,MIL,23,7,3,4,40,25.7,9.9,17.3,57,0.6,2,28.6,5.4,7.9,69.1,1.1,8.4,9.6,6.3,2.4,1.4,0.9,4,51.1,3,0,-1.6
CJ McCollum,POR,26,4,0,4,38.9,25.3,10,19.3,51.9,2.8,6.5,42.3,2.5,3.3,76.9,0,2,2,3.5,2.3,1.3,0.3,2.8,35.2,0,0,-9
Stephen Curry,GSW,30,11,7,4,35.7,24.8,9.1,19.3,47.2,3.8,9.9,38.5,2.8,3,93.9,0.5,5.5,6.1,4.9,2.9,1.8,0.7,2.5,44.2,1,0,9.1
Khris Middleton,MIL,26,7,3,4,39.3,24.7,9.6,16,59.8,3.6,5.9,61,2,2.7,73.7,0.1,5,5.1,3.1,2.3,0.9,0.7,4.3,38,0,0,1.4
Paul George,OKC,28,6,2,4,41.9,24.7,8.2,20,40.8,3.2,8.7,36.5,5.2,6,86.1,0.7,5.3,6,2.7,4,1.3,0.7,2.8,37.9,1,0,-3.7
Donovan Mitchell,UTA,21,11,5,6,37.4,24.4,9.3,22.1,42,2.3,7.3,31.3,3.5,3.9,90.7,0.8,5.1,5.9,4.2,2.9,1.5,0.4,3.2,40.3,3,0,-2.3
Jrue Holiday,NOP,27,9,5,4,38.7,23.7,9.8,18.9,51.8,1.8,5.6,32,2.3,3.3,70,1,4.7,5.7,6.3,2.6,1.1,0.6,2.4,42.4,1,1,1.3
LaMarcus Aldridge,SAS,32,5,1,4,35.3,23.6,7.4,16,46.3,0.6,1,60,8.2,8.4,97.6,2.6,6.6,9.2,2.4,1.8,0.6,0.4,1.8,39.4,4,0,-7.6
Bradley Beal,WAS,24,6,2,4,35.9,23.2,8.2,18,45.4,3.5,7.5,46.7,3.3,3.8,87,0.3,3,3.3,2.8,2.5,1.2,0.3,3.2,33.4,0,0,-7.8
Victor Oladipo,IND,26,7,3,4,37.2,22.7,7.6,18.1,41.7,3.3,8.1,40.4,4.3,5.9,73.2,0.4,7.9,8.3,6,3.4,2.4,0.4,1.6,46.8,3,1,8
DeMar DeRozan,TOR,28,10,4,6,35.4,22.7,8.7,19.9,43.7,1,3.5,28.6,4.3,5.3,81.1,0.6,3,3.6,4,2.3,0.5,0.6,2.4,34,0,0,-6.5
Joel Embiid,PHI,24,8,4,4,34.8,21.4,7.5,17.3,43.5,1,3.6,27.6,5.4,7.6,70.5,2.9,9.8,12.6,3,3.6,0.9,1.8,3.9,45.3,7,0,5.4
Chris Paul,HOU,33,15,11,4,34.5,21.1,7.9,17.1,45.9,2.5,6.6,37.4,2.9,3.5,83,0.6,5.3,5.9,5.8,1.9,2,0.3,3.1,41.9,4,0,4.1
Klay Thompson,GSW,28,17,12,5,38,20.5,7.9,17.2,46.2,3.2,7.6,42.6,1.4,1.5,88.5,0.6,3.5,4.2,2,1.5,0.8,0.3,2.1,30.3,0,0,5.5
Goran Dragic,MIA,32,5,1,4,31.3,18.6,7,15,46.7,1.6,4.2,38.1,3,4.4,68.2,0.6,2,2.6,4.6,3,1,0,3,28.6,0,0,-5.2
Damian Lillard,POR,27,4,0,4,40.6,18.5,6.3,17.8,35.2,2.3,7.5,30,3.8,4.3,88.2,0.8,3.8,4.5,4.8,4,1.3,0,2,30.8,0,0,-10.5
Jayson Tatum,BOS,20,19,11,8,35.9,18.5,6.5,13.7,47.1,1.2,3.7,32.4,4.3,5.1,84.5,0.5,3.8,4.4,2.7,2.2,1.2,0.5,2.6,30.9,1,0,2.7
JJ Redick,PHI,33,10,5,5,34.2,18.2,6,13.5,44.4,2.6,7.5,34.7,3.6,4.2,85.7,0.3,1.2,1.5,2.6,1.1,0.8,0.1,2.1,25.5,0,0,5.1
Jaylen Brown,BOS,21,18,10,8,32.4,18,6.9,14.8,46.6,2.4,6.2,39.3,1.8,2.8,64,0.9,3.9,4.8,1.4,1.3,0.8,0.6,3.2,28.7,0,0,1.2
Kyle Lowry,TOR,32,10,4,6,36.1,17.4,6,11.8,50.8,2.8,6.3,44.4,2.6,3.2,81.3,0.2,4.1,4.3,8.5,3.1,1.5,0,3.3,36.7,3,0,-1.5
Al-Farouq Aminu,POR,27,4,0,4,32.7,17.3,6.8,13,51.9,3.3,7.5,43.3,0.5,0.5,100,3,6,9,1.3,1.5,1,0.5,2,32.9,1,0,-11
Dario Saric,PHI,24,10,5,5,32.8,17.2,5.9,14,42.1,2,5.2,38.5,3.4,4,85,3.2,4.1,7.3,3.5,1.5,1,0.4,2.8,33.9,1,0,-2.2
Dwyane Wade,MIA,36,5,1,4,25.5,16.6,6.2,14,44.3,0,0.8,0,4.2,5.2,80.8,0.6,3.6,4.2,3.6,2.2,1.4,0.2,2.2,29.6,0,0,1
Terry Rozier,BOS,24,19,11,8,36.6,16.5,5.7,14,40.6,2.7,7.7,34.7,2.4,2.9,82.1,0.4,4.8,5.3,5.7,1.2,1.3,0.3,2,35,1,0,1.1
Ben Simmons,PHI,21,10,5,5,36.9,16.3,6.1,12.5,48.8,0,0.1,0,4.1,5.8,70.7,1.6,7.8,9.4,7.7,4.4,1.7,0.8,3.4,42.2,5,1,-2.1
Andrew Wiggins,MIN,23,5,1,4,32.8,15.8,6,13.6,44.1,1.4,4.2,33.3,2.4,4,60,1,4.2,5.2,2,1.8,0.4,0.4,2.8,25.6,0,0,-11.2
Jimmy Butler,MIN,28,5,1,4,34.1,15.8,5.6,12.6,44.4,1.6,3.4,47.1,3,3.6,83.3,0.6,5.4,6,4,1,0.8,0.2,1.8,31,0,0,-2.4
Al Horford,BOS,31,19,11,8,35.7,15.7,5.8,10.7,54.4,0.8,2.3,34.9,3.3,3.9,82.7,1.7,6.6,8.3,3.3,1.7,1,1.2,2.1,35.4,7,0,3.7
Eric Gordon,HOU,29,17,11,6,32.3,15.4,4.9,13,38,2.5,7.6,33.1,3,3.6,83.6,0.5,2.1,2.6,1.6,1.4,0.6,0.5,1.7,22.8,0,0,-0.1
Karl-Anthony Towns,MIN,22,5,1,4,33.9,15.2,5.6,12,46.7,0.6,2.2,27.3,3.4,4.6,73.9,3,10.4,13.4,2.2,2.4,0.4,1,2.8,36.4,3,0,-8.6
Nikola Mirotic,NOP,27,9,5,4,35.5,15,5.4,11.3,48,2.4,5.7,43.1,1.7,2.1,78.9,1,8.6,9.6,1.7,1.1,1.1,1.3,2.7,35.2,3,0,2.7
Jonas Valanciunas,TOR,26,10,4,6,24.4,14.6,5.8,10.7,54.2,0.2,0.5,40,2.8,3.4,82.4,3,7.5,10.5,1.2,1.9,0.4,1.5,2.2,32.8,6,0,2.5
Joe Ingles,UTA,30,11,5,6,34.8,14.5,5.2,11,47.1,3.2,7,45.5,1,1.5,64.7,0.5,3.9,4.4,3.4,2.4,0.5,0.2,2.6,24.6,0,0,2.1
Derrick Rose,MIN,29,5,1,4,23.8,14.2,5.8,11.4,50.9,1.4,2,70,1.2,1.4,85.7,0.2,1.6,1.8,2.6,1.6,0.4,0,1.8,19.9,0,0,0.2
Ricky Rubio,UTA,27,6,4,2,30.1,14,4.7,13.2,35.4,1.7,5.3,31.3,3,3.8,78.3,0.8,6.5,7.3,7,3,1.3,0.5,2.2,35.8,2,1,5.2
Kevin Love,CLE,29,17,11,6,31,13.9,4.9,12.6,38.8,1.6,4.6,34.6,2.6,2.8,91.7,2.1,7.9,10,1.6,2.1,0.6,0.4,3.1,29.4,5,0,2.3
Eric Bledsoe,MIL,28,7,3,4,32.1,13.6,5.3,12,44,1,3.1,31.8,2,2.9,70,0.4,3.1,3.6,3.7,2.1,1,0.9,2.7,26.9,0,0,2.4
Patty Mills,SAS,29,5,1,4,33,13.4,5,11.4,43.9,2.6,7,37.1,0.8,1,80,0.4,1.6,2,2.6,1.8,0.6,0.2,3,20.3,0,0,-4.8
Rudy Gobert,UTA,25,11,5,6,34.8,13.2,5,7.6,65.5,0,0,0,3.2,5.3,60.3,3.9,6.8,10.7,1,1.9,0.9,2.3,3.1,35.2,7,0,-2.5
Jeff Teague,MIN,29,5,1,4,30.6,13,4.6,10.2,45.1,1.4,3.6,38.9,2.4,3.4,70.6,0.6,3,3.6,5.8,2.8,0.6,0.4,3.8,26.2,0,0,-11
Marco Belinelli,PHI,32,10,5,5,27.3,12.9,4.3,10.6,40.6,1.6,4.6,34.8,2.7,3.1,87.1,0.1,2,2.1,2,0.4,0.7,0,2,20.1,0,0,3.9
Kelly Olynyk,MIA,27,5,1,4,29.2,12.8,4.2,8.8,47.7,1.6,3.8,42.1,2.8,4,70,1.4,3.2,4.6,3.8,1.6,1.4,1.2,3.8,30.2,0,0,-2.4
Clint Capela,HOU,24,17,11,6,30.6,12.7,5.6,8.5,66,0,0,0,1.5,3.2,47.3,3.6,8,11.6,1.3,0.9,0.8,2.1,2.2,36.5,7,0,2.2
Bojan Bogdanovic,IND,29,7,3,4,34,12.4,4.6,11.6,39.5,2.4,6.4,37.8,0.9,1.4,60,0.1,3.3,3.4,1.9,1.9,0.9,0,3.3,20,0,0,4.7
Domantas Sabonis,IND,22,7,3,4,23.7,12.4,5.1,8.9,58.1,0.1,1,14.3,2,2.6,77.8,2,2.6,4.6,0.7,1,0.1,0.3,3.1,19.3,0,0,1.9
Myles Turner,IND,22,7,3,4,28,12.4,4.7,7.7,61.1,0.9,1.9,46.2,2.1,2.7,78.9,0.9,4.3,5.1,0.6,1.6,0.3,0.6,3.6,20.5,0,0,5.7
Marcus Morris,BOS,28,19,11,8,29.6,12.4,4.3,11.7,36.8,1.6,3.8,41.7,2.2,3.1,71.2,1.1,4.4,5.4,1.1,1,0.4,0.3,3.2,21.5,2,0,0.9
James Johnson,MIA,31,5,1,4,32.1,12.4,4.6,8.4,54.8,1.4,2.6,53.8,1.8,2.8,64.3,0.6,5.4,6,4.8,2,1.2,1.2,3.4,32,0,0,-8.4
Rudy Gay,SAS,31,5,1,4,31.9,12.2,5.2,13,40,0.8,3.6,22.2,1,1.8,55.6,1.8,3.8,5.6,2.2,1.2,1.6,0.2,3.2,26.4,0,0,-1.6
Carmelo Anthony,OKC,33,6,2,4,32.3,11.8,4.5,12,37.5,1,4.7,21.4,1.8,2.5,73.3,0.5,5.2,5.7,0.3,1,1.7,0.7,2.3,25.1,0,0,-9.7
Jamal Crawford,MIN,38,5,1,4,24.6,11.8,4.2,9.4,44.7,1.4,3.4,41.2,2,2.6,76.9,0.2,2.4,2.6,2.4,1,1,0,1.2,20.5,0,0,-1
Jusuf Nurkic,POR,23,4,0,4,23.4,11.8,4.8,9.8,48.7,0,0,0,2.3,2.8,81.8,3,5,8,1,0.8,1.5,1.3,3.5,30.4,2,0,-7.3
E'Twaun Moore,NOP,29,9,5,4,31.6,11.3,4.6,9.8,46.6,1,2.8,36,1.2,1.8,68.8,0.7,1.9,2.6,1.7,1.2,0.7,0.1,2.2,18,0,0,2.4
Darren Collison,IND,30,7,3,4,30.6,11.3,4.4,9.7,45.6,1.1,3.3,34.8,1.3,1.7,75,0.1,2.9,3,4.7,1.3,1,0,1,23.7,0,0,3.3
Thaddeus Young,IND,29,7,3,4,33.8,11.3,5.1,8.6,60,0.3,1,28.6,0.7,1.9,38.5,3.1,4.6,7.7,1.4,1,1.7,0.9,3.1,29.4,2,0,2
Draymond Green,GSW,28,17,12,5,38.4,11.1,4,9.6,41.7,1.1,3.8,27.7,2.1,2.6,79.5,2.2,9.4,11.6,8.1,3.4,1.9,1.5,3.4,44,10,1,8.2
Mike Scott,WAS,29,6,2,4,21,10.8,4.3,6.8,63.4,1.2,1.8,63.6,1,1,100,1,2.5,3.5,0.7,0.8,0.3,0.2,1.7,16.7,0,0,5.5
Steven Adams,OKC,24,6,2,4,33.4,10.5,4.5,7.7,58.7,0,0,0,1.5,2.2,69.2,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,25.1,1,0,-2.5
Lance Stephenson,IND,27,7,3,4,21.3,10.4,4.3,9.3,46.2,1.1,3.7,30.8,0.7,1.3,55.6,0.4,2.3,2.7,2.9,1.3,0.3,0.1,2.9,18,0,0,0.1
Rajon Rondo,NOP,32,9,5,4,33.6,10.3,4.2,10.2,41.3,0.9,2.1,42.1,1,1.6,64.3,1,6.6,7.6,12.2,3.7,1.4,0.2,2.2,39.1,4,0,1.8
Otto Porter Jr.,WAS,24,5,2,3,31.6,10,4,8.2,48.8,1,2.4,41.7,1,1.6,62.5,0.2,4.8,5,1.6,0.6,1.2,1,1.2,24.4,0,0,-1.8
Jae Crowder,UTA,27,11,5,6,29.4,10,3.2,9.8,32.4,2,6,33.3,1.6,2.5,64.3,0.4,4.7,5.1,1.7,1.3,1.4,0.2,2.3,22.1,1,0,-5.9
Jabari Parker,MIL,23,7,3,4,23.9,10,4,8.9,45.2,0.9,2.7,31.6,1.1,1.9,61.5,1.1,5,6.1,1.4,0.9,1,0.6,2.1,23.4,0,0,-2.3
Markieff Morris,WAS,28,6,2,4,30.2,9.8,4,8.2,49,0.3,2,16.7,1.5,1.7,90,2.3,5.2,7.5,1.7,1,0.7,0.8,3.7,24.8,2,0,-4.5
Justise Winslow,MIA,22,5,1,4,25,9.8,3,8.4,35.7,1.4,3.8,36.8,2.4,3.4,70.6,1.4,5.2,6.6,2.6,1.6,0.8,0.8,3.4,24.8,1,0,-3.6
Marcus Smart,BOS,24,15,9,6,29.9,9.8,3.2,9.5,33.6,1,4.5,22.1,2.4,3.3,73.5,0.9,2.8,3.7,5.3,2.4,1.7,0.7,2.9,27.1,0,0,1.3
Kyle Korver,CLE,37,18,12,6,24.4,9.8,3.2,6.9,46.4,2.4,5.4,44.9,0.9,0.9,94.1,0.2,2.3,2.5,0.9,0.7,0.5,0.4,2.1,16.3,0,0,2.9
George Hill,CLE,32,15,10,5,29.3,9.7,3.3,6.7,49,0.6,2.3,25.7,2.5,3.1,80.9,0.5,1.6,2.1,2.2,1.1,0.5,0.5,2.4,17.3,0,0,4.6
CJ Miles,TOR,31,10,4,6,22.7,9.6,3.2,7.1,45.1,1.9,4.5,42.2,1.3,1.6,81.3,0.6,1.8,2.4,0.8,0.9,0.7,0.3,2.1,15.8,0,0,-2.4
John Henson,MIL,27,2,0,2,37.1,9.5,4.5,6.5,69.2,0,0,0,0.5,1,50,2,4,6,2.5,2,0,3.5,2,29,0,0,0
Jordan Crawford,NOP,29,2,1,1,7.7,9.5,4,6.5,61.5,1.5,4,37.5,0,0,0,0,2,2,0.5,1.5,0.5,0,0.5,12.7,0,0,-4
Evan Turner,POR,29,3,0,3,28.9,9.3,4,11,36.4,0.7,2.3,28.6,0.7,0.7,100,1.7,2.3,4,3.3,2,1,0.3,2.7,21.1,0,0,-6.7
Kelly Oubre Jr.,WAS,22,6,2,4,24.7,9.3,3,8,37.5,0.7,3.2,21.1,2.7,3,88.9,0.2,3.7,3.8,0.7,0.8,1,0.5,2.7,18.6,0,0,0.7
Ersan Ilyasova,PHI,31,10,5,5,23.3,9.3,3.6,8.4,42.9,0.9,3.1,29,1.2,2.1,57.1,2.6,5,7.6,1.3,1,0.7,0.4,2.5,22.7,2,0,4.7
Derrick Favors,UTA,26,11,5,6,26,9.3,3.8,6.2,61.8,0.2,0.5,40,1.5,3,48.5,1.8,3.4,5.2,1.2,0.9,0.7,1,1.5,21.5,1,0,3.3
Alec Burks,UTA,26,9,4,5,13.4,9.1,3.3,7.1,46.9,1,2.2,45,1.4,1.7,86.7,0.2,2.4,2.7,1.9,0.9,0.4,0.1,1,15.9,0,0,0.4
Manu Ginobili,SAS,40,5,1,4,21.3,9,3,7.4,40.5,1.2,3.6,33.3,1.8,2.2,81.8,0.2,2.8,3,3.2,1.4,1.4,0.2,2.6,20.8,0,0,-0.8
PJ Tucker,HOU,33,17,11,6,33.5,8.9,3.1,6.4,48.1,2.1,4.4,46.7,0.7,1.1,66.7,1.4,5.2,6.5,1.3,0.8,0.6,0.8,2.7,22.1,1,0,5.6
Trevor Ariza,HOU,32,17,11,6,34.2,8.8,2.9,8.2,36,1.5,5.4,28.6,1.4,1.8,74.2,0.5,3.3,3.8,1.3,0.6,1.1,0.1,2.6,18.4,0,0,4.8
Malcolm Brogdon,MIL,25,7,3,4,26.6,8.7,3.4,7.9,43.6,0.7,2.7,26.3,1.1,1.4,80,0.4,3,3.4,2.4,1.7,0.1,0,2,15.2,0,0,-4
Serge Ibaka,TOR,28,10,4,6,26,8.7,3,7.2,41.7,0.9,2.4,37.5,1.8,2.2,81.8,1.3,4.6,5.9,1.1,1.6,0.1,1.3,2.1,20,1,0,-0.5
Marcin Gortat,WAS,34,6,2,4,26.6,8.7,4,7.2,55.8,0,0,0,0.7,1.2,57.1,2.2,4.2,6.3,1,1,0,0.3,2.5,17.8,1,0,-0.2
Delon Wright,TOR,26,10,4,6,21.5,8.6,3.1,6.8,45.6,0.9,2.1,42.9,1.5,1.6,93.8,0.3,1.9,2.2,2.3,0.9,1.5,0.9,1,21,0,0,-0.9
JR Smith,CLE,32,18,12,6,32,8.5,2.9,8.1,35.6,1.9,5.3,36.8,0.8,0.9,82.4,0.3,2.3,2.6,1.1,0.9,0.9,0.2,2.6,15.7,0,0,2.3
Josh Richardson,MIA,24,5,1,4,25.9,8.4,3,8,37.5,1.2,3.8,31.6,1.2,1.4,85.7,0.8,2.2,3,2.8,1,2.2,1,3.4,24.8,0,0,-9.2
Jeff Green,CLE,31,18,12,6,23.7,8.3,2.8,6.3,43.9,1,3.1,32.1,1.7,2.4,70.5,0.3,2.4,2.7,1.3,0.8,0.3,0.8,1.8,16,0,0,-0.3
Robert Covington,PHI,27,10,5,5,28.1,8.1,2.7,8.3,32.5,1.5,4.8,31.3,1.2,1.6,75,1.2,4.1,5.3,2.5,1.1,1.1,0.9,3,23.1,0,0,-0.6
Tyler Johnson,MIA,26,5,1,4,16.2,8,2.8,5.2,53.8,1.2,2,60,1.2,1.4,85.7,0.2,1.4,1.6,0.8,0.4,0.4,0,2.8,11.9,0,0,-3.8
Maurice Harkless,POR,25,2,0,2,26.6,8,3.5,6.5,53.8,1,3,33.3,0,0,0,1.5,2.5,4,2,0.5,0,0.5,2,16.8,0,0,-3
Andre Iguodala,GSW,34,13,10,3,27.4,7.9,2.7,5.6,47.9,0.8,2.4,35.5,1.7,2.5,68.8,0.8,4.2,4.9,3.1,1,1.4,0.4,1.8,22.8,0,0,6.5
OG Anunoby,TOR,20,10,4,6,23.8,7.9,2.9,5.2,55.8,1.3,2.9,44.8,0.8,1.1,72.7,0.9,1.2,2.1,0.7,0.6,0.6,0.4,2.3,13.9,0,0,-2.3
Dejounte Murray,SAS,21,5,1,4,19.2,7.8,2.8,6.2,45.2,0.8,1.2,66.7,1.4,1.8,77.8,0.8,3.4,4.2,1.8,1,1,0.4,2.2,18.7,0,0,-3.2
